fen,played_move_uci
1k2r3/pbpnqp2/1p1p1bp1/6Nn/3P3Q/2P1N1PB/PP2PP2/2KR4 w - - 7 19,f2f4
1k2r3/pbpnqp2/1p1p1bp1/6Nn/3P1P1Q/2P1N1PB/PP2P3/2KR4 b - - 0 19,e7e3
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P1q1PB/PP2P3/2KR4 w - - 0 20,c1b1
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P1q1PB/PP2P3/1K1R4 b - - 1 20,e3e2
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP2q3/1K1R4 w - - 0 21,d1c1
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP2q3/1KR5 b - - 1 21,e2d3
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2Pq2PB/PP6/1KR5 w - - 2 22,b1a1
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2Pq2PB/PP6/K1R5 b - - 3 22,d3d2
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP1q4/K1R5 w - - 4 23,c1b1
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP1q4/KR6 b - - 5 23,e8e1
1k6/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P3PB/PP1q4/KR2r3 w - - 6 24,g3g4
1k6/pbpn1p2/1p1p1bp1/6Nn/3P1PPQ/2P4B/PP1q4/KR2r3 b - - 0 24,e1b1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,g1f3
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,g8f6
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,c1f4
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,g7g6
rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,e2e3
rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,f8g7
rnbqk2r/ppp1ppbp/5np1/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,c2c4
rnbqk2r/ppp1ppbp/5np1/3p4/2PP1B2/4PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,e8g8
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP1B2/4PN2/PP3PPP/RN1QKB1R w KQ - 1 6,f1e2
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP1B2/4PN2/PP2BPPP/RN1QK2R b KQ - 2 6,c7c6
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP1B2/4PN2/PP2BPPP/RN1QK2R w KQ - 0 7,e1g1
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP1B2/4PN2/PP2BPPP/RN1Q1RK1 b - - 1 7,b8d7
r1bq1rk1/pp1nppbp/2p2np1/3p4/2PP1B2/4PN2/PP2BPPP/RN1Q1RK1 w - - 2 8,b1c3
r1bq1rk1/pp1nppbp/2p2np1/3p4/2PP1B2/2N1PN2/PP2BPPP/R2Q1RK1 b - - 3 8,d7b6
r1bq1rk1/pp2ppbp/1np2np1/3p4/2PP1B2/2N1PN2/PP2BPPP/R2Q1RK1 w - - 4 9,c4c5
