fen,played_move_uci,best_move_uci,best_eval
r1b1k3/pppnqpb1/3p1np1/8/2NP1Q2/2P2N2/PP2PPP1/R3KB2 b Qq - 6 12,b7b6,e8f8,488
r1b1k3/p1pnqpb1/1p1p1np1/8/2NP1Q2/2P2N2/PP2PPP1/R3KB2 w Qq - 0 13,c4e3,e2e4,-489
r1b1k3/p1pnqpb1/1p1p1np1/8/3P1Q2/2P1NN2/PP2PPP1/R3KB2 b Qq - 1 13,c8b7,c8b7,537
r3k3/pbpnqpb1/1p1p1np1/8/3P1Q2/2P1NN2/PP2PPP1/R3KB2 w Qq - 2 14,f3g5,g2g4,-499
r3k3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N3/PP2PPP1/R3KB2 b Qq - 3 14,e8c8,e8c8,526
2kr4/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N3/PP2PPP1/R3KB2 w Q - 4 15,g2g3,a2a4,-502
2kr4/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1P1/PP2PP2/R3KB2 b Q - 0 15,d8e8,d8h8,537
2k1r3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1P1/PP2PP2/R3KB2 w Q - 1 16,f1h3,a2a4,-519
2k1r3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1PB/PP2PP2/R3K3 b Q - 2 16,c8b8,g7h6,512
1k2r3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1PB/PP2PP2/R3K3 w Q - 3 17,e1c1,a2a4,-494
1k2r3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1PB/PP2PP2/2KR4 b - - 4 17,f6h5,g7h6,572
1k2r3/pbpnqpb1/1p1p2p1/6Nn/3P1Q2/2P1N1PB/PP2PP2/2KR4 w - - 5 18,f4h4,f4f7,-398
1k2r3/pbpnqpb1/1p1p2p1/6Nn/3P3Q/2P1N1PB/PP2PP2/2KR4 b - - 6 18,g7f6,d7f6,549
1k2r3/pbpnqp2/1p1p1bp1/6Nn/3P3Q/2P1N1PB/PP2PP2/2KR4 w - - 7 19,f2f4,h3d7,-575
1k2r3/pbpnqp2/1p1p1bp1/6Nn/3P1P1Q/2P1N1PB/PP2P3/2KR4 b - - 0 19,e7e3,e7e3,652
1k2r3/pbpn1p2/1p1p1bp1/6Nn/3P1P1Q/2P1q1PB/PP2P3/2KR4 w - - 0 20,c1b1,c1b1,-608
